Date,Sales
2021-06-24,1251
2021-06-25,1060
2021-06-26,1198
2021-06-27,1072
2021-06-28,822
2021-06-29,1322
2021-06-30,1132
2021-07-01,1208
2021-07-02,1101
2021-07-03,993
2021-07-04,1351
2021-07-05,1093
2021-07-06,1058
2021-07-07,794
2021-07-08,1297
2021-07-09,820
2021-07-10,1239
2021-07-11,1194
2021-07-12,1037
2021-07-13,1322
2021-07-14,934
2021-07-15,1154
2021-07-16,844
2021-07-17,1178
2021-07-18,963
2021-07-19,1101
2021-07-20,1007
2021-07-21,647
2021-07-22,1290
2021-07-23,955
2021-07-24,1127
2021-07-25,1220
2021-07-26,1158
2021-07-27,330
2021-07-28,831
2021-07-29,736
2021-07-30,633
2021-07-31,943
2021-08-01,993
2021-08-02,749
2021-08-03,1181
2021-08-04,1014
2021-08-05,992
2021-08-06,1609
2021-08-07,1006
2021-08-08,1323
2021-08-09,1034
2021-08-10,928
2021-08-11,992
2021-08-12,1211
2021-08-13,909
2021-08-14,1132
2021-08-15,760
2021-08-16,956
2021-08-17,904
2021-08-18,932
2021-08-19,827
2021-08-20,1052
2021-08-21,1030
2021-08-22,1086
2021-08-23,1131
2021-08-24,1126
2021-08-25,1266
2021-08-26,820
2021-08-27,633
2021-08-28,775
2021-08-29,1110
2021-08-30,922
2021-08-31,1033
2021-09-01,1136
2021-09-02,1077
2021-09-03,1331
2021-09-04,760
2021-09-05,957
2021-09-06,985
2021-09-07,695
2021-09-08,892
2021-09-09,858
2021-09-10,1127
2021-09-11,802
2021-09-12,1091
2021-09-13,775
2021-09-14,853
2021-09-15,1328
2021-09-16,789
2021-09-17,1017
2021-09-18,957
2021-09-19,1030
2021-09-20,879
2021-09-21,1011
2021-09-22,894
2021-09-23,783
2021-09-24,795
2021-09-25,1068
2021-09-26,910
2021-09-27,836
2021-09-28,1024
2021-09-29,1367
2021-09-30,932
2021-10-01,862
2021-10-02,1088
2021-10-03,1301
2021-10-04,832
2021-10-05,782
2021-10-06,688
2021-10-07,1082
2021-10-08,1047
2021-10-09,1052
2021-10-10,969
2021-10-11,1110
2021-10-12,674
2021-10-13,1055
2021-10-14,680
2021-10-15,698
2021-10-16,748
2021-10-17,739
2021-10-18,939
2021-10-19,792
2021-10-20,708
2021-10-21,772
2021-10-22,783
2021-10-23,674
2021-10-24,599
2021-10-25,1082
2021-10-26,1194
2021-10-27,506
2021-10-28,913
2021-10-29,847
2021-10-30,1010
2021-10-31,1235
2021-11-01,1006
2021-11-02,986
2021-11-03,945
2021-11-04,727
2021-11-05,881
2021-11-06,1041
2021-11-07,1174
2021-11-08,1170
2021-11-09,1066
2021-11-10,1248
2021-11-11,755
2021-11-12,960
2021-11-13,1026
2021-11-14,878
2021-11-15,673
2021-11-16,728
2021-11-17,1090
2021-11-18,1124
2021-11-19,1373
2021-11-20,917
2021-11-21,830
2021-11-22,1100
2021-11-23,1122
2021-11-24,1171
2021-11-25,1037
2021-11-26,1075
2021-11-27,1215
2021-11-28,1125
2021-11-29,951
2021-11-30,1181
2021-12-01,1189
2021-12-02,791
2021-12-03,1038
2021-12-04,945
2021-12-05,1126
2021-12-06,1118
2021-12-07,1283
2021-12-08,1268
2021-12-09,903
2021-12-10,1159
2021-12-11,1187
2021-12-12,996
2021-12-13,1150
2021-12-14,1036
2021-12-15,1218
2021-12-16,1066
2021-12-17,1009
2021-12-18,1256
2021-12-19,1238
2021-12-20,1287
2021-12-21,1248
2021-12-22,1398
2021-12-23,1244
2021-12-24,1104
2021-12-25,1285
2021-12-26,1122
2021-12-27,1235
2021-12-28,939
2021-12-29,1044
2021-12-30,920
2021-12-31,1107
2022-01-01,818
2022-01-02,914
2022-01-03,989
2022-01-04,1093
2022-01-05,1176
2022-01-06,1065
2022-01-07,1322
2022-01-08,1151
2022-01-09,1413
2022-01-10,1312
2022-01-11,1283
2022-01-12,962
2022-01-13,1272
2022-01-14,1367
2022-01-15,1179
2022-01-16,1177
2022-01-17,1143
2022-01-18,1281
2022-01-19,1259
2022-01-20,928
2022-01-21,1090
2022-01-22,1547
2022-01-23,1227
2022-01-24,1241
2022-01-25,1246
2022-01-26,1172
2022-01-27,1055
2022-01-28,1361
2022-01-29,1352
2022-01-30,1249
2022-01-31,1558
2022-02-01,1172
2022-02-02,1097
2022-02-03,988
2022-02-04,1219
2022-02-05,992
2022-02-06,967
2022-02-07,1247
2022-02-08,1148
2022-02-09,1418
2022-02-10,1357
2022-02-11,1083
2022-02-12,1376
2022-02-13,1416
2022-02-14,1325
2022-02-15,1390
2022-02-16,1410
2022-02-17,1384
2022-02-18,1457
2022-02-19,1218
2022-02-20,1483
2022-02-21,1984
2022-02-22,1460
2022-02-23,1468
2022-02-24,1547
2022-02-25,982
2022-02-26,1253
2022-02-27,1039
2022-02-28,1326
2022-03-01,1346
2022-03-02,1407
2022-03-03,1442
2022-03-04,1495
2022-03-05,1428
2022-03-06,1318
2022-03-07,1077
2022-03-08,1121
2022-03-09,1337
2022-03-10,1316
2022-03-11,1195
2022-03-12,1192
2022-03-13,1295
2022-03-14,1297
2022-03-15,1574
2022-03-16,1309
2022-03-17,1360
2022-03-18,1680
2022-03-19,1419
2022-03-20,1725
2022-03-21,1490
2022-03-22,1279
2022-03-23,1323
2022-03-24,1395
2022-03-25,1504
2022-03-26,1422
2022-03-27,1376
2022-03-28,1954
2022-03-29,1051
2022-03-30,1608
2022-03-31,1283
2022-04-01,1231
2022-04-02,1239
2022-04-03,1337
2022-04-04,1526
2022-04-05,1415
2022-04-06,1459
2022-04-07,1296
2022-04-08,1121
2022-04-09,1092
2022-04-10,1103
2022-04-11,1262
2022-04-12,1553
2022-04-13,1272
2022-04-14,1706
2022-04-15,1379
2022-04-16,1259
2022-04-17,1180
2022-04-18,1696
2022-04-19,1104
2022-04-20,1541
2022-04-21,1435
2022-04-22,1419
2022-04-23,1309
2022-04-24,1687
2022-04-25,1436
2022-04-26,1392
2022-04-27,1780
2022-04-28,1682
2022-04-29,1494
2022-04-30,1462
2022-05-01,1562
2022-05-02,1530
2022-05-03,1591
2022-05-04,1097
2022-05-05,1307
2022-05-06,1528
2022-05-07,1185
2022-05-08,1379
2022-05-09,1038
2022-05-10,1173
2022-05-11,1165
2022-05-12,1268
2022-05-13,1302
2022-05-14,1419
2022-05-15,1789
2022-05-16,1520
2022-05-17,1235
2022-05-18,1137
2022-05-19,1450
2022-05-20,1548
2022-05-21,1333
2022-05-22,1556
2022-05-23,1252
2022-05-24,1611
2022-05-25,1073
2022-05-26,1328
2022-05-27,1130
2022-05-28,1566
2022-05-29,1234
2022-05-30,1026
2022-05-31,1333
2022-06-01,1437
2022-06-02,1445
2022-06-03,1525
2022-06-04,1204
2022-06-05,1078
2022-06-06,1607
2022-06-07,1380
2022-06-08,1226
2022-06-09,1490
2022-06-10,1185
2022-06-11,1514
2022-06-12,1067
2022-06-13,1592
2022-06-14,1097
2022-06-15,1417
2022-06-16,1138
2022-06-17,1615
2022-06-18,1199
2022-06-19,1482
2022-06-20,1064
2022-06-21,1317
2022-06-22,1595
2022-06-23,1358
2022-06-24,1666
2022-06-25,1425
2022-06-26,1401
2022-06-27,1391
2022-06-28,1094
2022-06-29,1551
2022-06-30,1186
2022-07-01,1438
2022-07-02,1489
2022-07-03,1258
2022-07-04,1095
2022-07-05,1494
2022-07-06,1345
2022-07-07,1251
2022-07-08,1261
2022-07-09,1156
2022-07-10,1330
2022-07-11,1183
2022-07-12,1416
2022-07-13,1247
2022-07-14,1216
2022-07-15,1437
2022-07-16,1642
2022-07-17,1395
2022-07-18,1525
2022-07-19,1157
2022-07-20,1392
2022-07-21,1214
2022-07-22,1156
2022-07-23,967
2022-07-24,1474
2022-07-25,1274
2022-07-26,1080
2022-07-27,1260
2022-07-28,1100
2022-07-29,1117
2022-07-30,1422
2022-07-31,1244
2022-08-01,1165
2022-08-02,1343
2022-08-03,989
2022-08-04,996
2022-08-05,1095
2022-08-06,1347
2022-08-07,840
2022-08-08,1225
2022-08-09,1209
2022-08-10,1025
2022-08-11,1356
2022-08-12,1261
2022-08-13,1117
2022-08-14,849
2022-08-15,1234
2022-08-16,1327
2022-08-17,1133
2022-08-18,1005
2022-08-19,901
2022-08-20,1376
2022-08-21,1002
2022-08-22,1298
2022-08-23,1095
2022-08-24,1068
2022-08-25,885
2022-08-26,998
2022-08-27,876
2022-08-28,1211
2022-08-29,1377
2022-08-30,868
2022-08-31,1035
2022-09-01,1217
2022-09-02,1333
2022-09-03,1169
2022-09-04,972
2022-09-05,1280
2022-09-06,1151
2022-09-07,849
2022-09-08,1005
2022-09-09,1050
2022-09-10,1145
2022-09-11,926
2022-09-12,920
2022-09-13,1307
2022-09-14,1088
2022-09-15,1022
2022-09-16,926
2022-09-17,1360
2022-09-18,1275
2022-09-19,973
2022-09-20,1144
2022-09-21,1331
2022-09-22,1195
2022-09-23,853
2022-09-24,1013
2022-09-25,1149
2022-09-26,1004
2022-09-27,845
2022-09-28,1300
2022-09-29,839
2022-09-30,1131
2022-10-01,1370
2022-10-02,1101
2022-10-03,1141
2022-10-04,1089
2022-10-05,1213
2022-10-06,798
2022-10-07,703
2022-10-08,1289
2022-10-09,1482
2022-10-10,1415
2022-10-11,1089
2022-10-12,1122
2022-10-13,1238
2022-10-14,1042
2022-10-15,854
2022-10-16,1110
2022-10-17,903
2022-10-18,1164
2022-10-19,1078
2022-10-20,748
2022-10-21,1149
2022-10-22,1012
2022-10-23,901
2022-10-24,893
2022-10-25,1058
2022-10-26,1357
2022-10-27,1687
2022-10-28,1322
2022-10-29,1199
2022-10-30,927
2022-10-31,1222
2022-11-01,1166
2022-11-02,942
2022-11-03,1342
2022-11-04,1206
2022-11-05,951
2022-11-06,1338
2022-11-07,1251
2022-11-08,1362
2022-11-09,1286
2022-11-10,1600
2022-11-11,1202
2022-11-12,1297
2022-11-13,878
2022-11-14,1477
2022-11-15,950
2022-11-16,1166
2022-11-17,1022
2022-11-18,1140
2022-11-19,1147
2022-11-20,953
2022-11-21,1245
2022-11-22,1109
2022-11-23,1046
2022-11-24,1048
2022-11-25,1152
2022-11-26,1087
2022-11-27,1503
2022-11-28,1281
2022-11-29,1413
2022-11-30,1378
2022-12-01,825
2022-12-02,1426
2022-12-03,1580
2022-12-04,929
2022-12-05,1143
2022-12-06,1216
2022-12-07,1402
2022-12-08,1030
2022-12-09,1234
2022-12-10,1279
2022-12-11,1169
2022-12-12,939
2022-12-13,981
2022-12-14,1263
2022-12-15,1161
2022-12-16,1323
2022-12-17,1358
2022-12-18,1299
2022-12-19,1172
2022-12-20,1549
2022-12-21,1245
2022-12-22,1383
2022-12-23,1622
2022-12-24,1462
2022-12-25,1308
2022-12-26,1432
2022-12-27,1463
2022-12-28,1100
2022-12-29,1439
2022-12-30,1324
2022-12-31,1393
2023-01-01,1125
2023-01-02,1705
2023-01-03,1380
2023-01-04,1244
2023-01-05,1526
2023-01-06,1344
2023-01-07,1461
2023-01-08,1410
2023-01-09,985
2023-01-10,1256
2023-01-11,1124
2023-01-12,1577
2023-01-13,1604
2023-01-14,1107
2023-01-15,1392
2023-01-16,1045
2023-01-17,1113
2023-01-18,1615
2023-01-19,1298
2023-01-20,1420
2023-01-21,1536
2023-01-22,1413
2023-01-23,1330
2023-01-24,635
2023-01-25,1706
2023-01-26,1483
2023-01-27,1241
2023-01-28,1449
2023-01-29,1466
2023-01-30,1476
2023-01-31,1084
2023-02-01,1596
2023-02-02,1308
2023-02-03,1422
2023-02-04,1208
2023-02-05,1558
2023-02-06,1613
2023-02-07,1503
2023-02-08,1223
2023-02-09,1560
2023-02-10,1597
2023-02-11,1537
2023-02-12,1623
2023-02-13,1487
2023-02-14,1449
2023-02-15,1247
2023-02-16,1482
2023-02-17,1454
2023-02-18,1375
2023-02-19,1596
2023-02-20,1734
2023-02-21,1828
2023-02-22,1445
2023-02-23,1650
2023-02-24,1059
2023-02-25,1450
2023-02-26,1486
2023-02-27,1400
2023-02-28,1456
2023-03-01,1459
2023-03-02,1768
2023-03-03,1816
2023-03-04,1845
2023-03-05,1779
2023-03-06,1655
2023-03-07,1591
2023-03-08,1585
2023-03-09,1645
2023-03-10,1493
2023-03-11,1723
2023-03-12,1432
2023-03-13,1513
2023-03-14,1272
2023-03-15,1279
2023-03-16,1251
2023-03-17,1805
2023-03-18,1403
2023-03-19,1388
2023-03-20,1538
2023-03-21,1180
2023-03-22,1577
2023-03-23,1691
2023-03-24,1770
2023-03-25,1420
2023-03-26,1588
2023-03-27,1458
2023-03-28,1598
2023-03-29,1654
2023-03-30,1386
2023-03-31,1913
2023-04-01,1929
2023-04-02,1263
2023-04-03,1497
2023-04-04,1584
2023-04-05,1509
2023-04-06,1458
2023-04-07,1263
2023-04-08,1326
2023-04-09,1592
2023-04-10,1574
2023-04-11,1751
2023-04-12,1825
2023-04-13,1407
2023-04-14,1533
2023-04-15,1806
2023-04-16,1464
2023-04-17,1911
2023-04-18,1592
2023-04-19,1572
2023-04-20,1798
2023-04-21,1599
2023-04-22,1559
2023-04-23,1560
2023-04-24,1528
2023-04-25,1554
2023-04-26,1495
2023-04-27,1651
2023-04-28,1382
2023-04-29,1465
2023-04-30,1736
2023-05-01,1593
2023-05-02,1481
2023-05-03,1550
2023-05-04,1392
2023-05-05,1755
2023-05-06,1515
2023-05-07,1464
2023-05-08,1771
2023-05-09,1762
2023-05-10,1703
2023-05-11,1235
2023-05-12,1537
2023-05-13,1337
2023-05-14,1596
2023-05-15,1328
2023-05-16,1699
2023-05-17,1569
2023-05-18,1609
2023-05-19,1297
2023-05-20,1541
2023-05-21,1438
2023-05-22,1325
2023-05-23,1494
2023-05-24,1489
2023-05-25,1176
2023-05-26,1648
2023-05-27,1679
2023-05-28,1660
2023-05-29,1653
2023-05-30,1662
2023-05-31,1536
2023-06-01,1682
2023-06-02,1907
2023-06-03,1524
2023-06-04,1598
2023-06-05,1390
2023-06-06,1275
2023-06-07,1204
2023-06-08,1359
2023-06-09,1505
2023-06-10,1683
2023-06-11,1471
2023-06-12,1909
2023-06-13,1217
2023-06-14,1825
2023-06-15,1207
2023-06-16,1600
2023-06-17,1217
2023-06-18,1361
2023-06-19,1392
2023-06-20,1689
2023-06-21,1726
2023-06-22,1443
2023-06-23,1467
2023-06-24,1493
2023-06-25,1411
2023-06-26,1331
2023-06-27,1697
2023-06-28,1445
2023-06-29,1688
2023-06-30,1035
2023-07-01,1573
2023-07-02,1244
2023-07-03,1594
2023-07-04,1367
2023-07-05,1466
2023-07-06,1592
2023-07-07,1613
2023-07-08,1274
2023-07-09,1090
2023-07-10,1087
2023-07-11,1513
2023-07-12,1463
2023-07-13,1217
2023-07-14,1782
2023-07-15,1305
2023-07-16,1148
2023-07-17,1388
2023-07-18,1314
2023-07-19,1550
2023-07-20,1500
2023-07-21,1507
2023-07-22,1539
2023-07-23,906
2023-07-24,1399
2023-07-25,1307
2023-07-26,1229
2023-07-27,1401
2023-07-28,1265
2023-07-29,1372
2023-07-30,1345
2023-07-31,1721
2023-08-01,939
2023-08-02,1152
2023-08-03,1356
2023-08-04,1594
2023-08-05,1589
2023-08-06,1044
2023-08-07,925
2023-08-08,1585
2023-08-09,1461
2023-08-10,900
2023-08-11,1258
2023-08-12,1468
2023-08-13,1281
2023-08-14,1129
2023-08-15,1383
2023-08-16,1352
2023-08-17,1464
2023-08-18,1367
2023-08-19,1246
2023-08-20,1416
2023-08-21,1151
2023-08-22,1242
2023-08-23,970
2023-08-24,1531
2023-08-25,1309
2023-08-26,1199
2023-08-27,1405
2023-08-28,1223
2023-08-29,1096
2023-08-30,1365
2023-08-31,1346
2023-09-01,1436
2023-09-02,1443
2023-09-03,1273
2023-09-04,1090
2023-09-05,1172
2023-09-06,1423
2023-09-07,1152
2023-09-08,1394
2023-09-09,1367
2023-09-10,1180
2023-09-11,1487
2023-09-12,1560
2023-09-13,1080
2023-09-14,1182
2023-09-15,1550
2023-09-16,1379
2023-09-17,1393
2023-09-18,1226
2023-09-19,1441
2023-09-20,1269
2023-09-21,1183
2023-09-22,862
2023-09-23,1078
2023-09-24,1126
2023-09-25,1202
2023-09-26,1043
2023-09-27,1125
2023-09-28,1506
2023-09-29,1195
2023-09-30,1470
2023-10-01,1020
2023-10-02,1573
2023-10-03,1243
2023-10-04,1055
2023-10-05,1039
2023-10-06,1014
2023-10-07,1249
2023-10-08,1460
2023-10-09,1257
2023-10-10,1329
2023-10-11,1292
2023-10-12,1427
2023-10-13,1238
2023-10-14,1513
2023-10-15,1321
2023-10-16,1081
2023-10-17,1329
2023-10-18,1238
2023-10-19,1224
2023-10-20,1487
2023-10-21,1129
2023-10-22,1263
2023-10-23,1421
2023-10-24,1576
2023-10-25,909
2023-10-26,1457
2023-10-27,1532
2023-10-28,1461
2023-10-29,1279
2023-10-30,1131
2023-10-31,1210
2023-11-01,1134
2023-11-02,1156
2023-11-03,1614
2023-11-04,886
2023-11-05,1399
2023-11-06,1342
2023-11-07,1358
2023-11-08,1384
2023-11-09,1073
2023-11-10,1277
2023-11-11,1333
2023-11-12,1387
2023-11-13,1222
2023-11-14,1364
2023-11-15,1312
2023-11-16,1586
2023-11-17,1591
2023-11-18,1403
2023-11-19,1029
2023-11-20,1499
2023-11-21,1546
2023-11-22,1190
2023-11-23,1022
2023-11-24,1437
2023-11-25,1311
2023-11-26,1282
2023-11-27,1363
2023-11-28,1625
2023-11-29,1201
2023-11-30,1626
2023-12-01,1190
2023-12-02,1588
2023-12-03,1629
2023-12-04,1477
2023-12-05,1455
2023-12-06,1041
2023-12-07,1611
2023-12-08,1448
2023-12-09,1512
2023-12-10,1611
2023-12-11,1481
2023-12-12,1304
2023-12-13,1738
2023-12-14,1279
2023-12-15,1506
2023-12-16,1271
2023-12-17,1412
2023-12-18,1245
2023-12-19,1400
2023-12-20,1523
2023-12-21,852
2023-12-22,1615
2023-12-23,1430
2023-12-24,1445
2023-12-25,1753
2023-12-26,1629
2023-12-27,1721
2023-12-28,1529
2023-12-29,1411
2023-12-30,1591
2023-12-31,1676
